District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax
Côte-des-Neiges,Conseiller de la ville,Magda Popeanu,Magda,Popeanu,F,Projet Montréal - Équipe Valérie Plante,magda.popeanu@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_popeanu_magda.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239477",,,,,,,legislature,"5160, boulevard Décarie
bureau 710
Montréal QC  H3X 2H9",1 514 872-2966,1 514 868-3327
Côte-des-Neiges—Notre-Dame-de-Grâce,Maire d'arrondissement,Sue Montgomery,Sue,Montgomery,F,Projet Montréal - Équipe Valérie Plante,sue.montgomery@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_montgomery_sue.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903702",,,,,,,legislature,"5160, boulevard Décarie
bureau 710
Montréal QC  H3X 2H9",1 514 868-3523,1 514 868-3327
Darlington,Conseiller de la ville,Lionel Perez,Lionel,Perez,M,Ensemble Montréal,lionel.perez@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_perez_lionel.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=141935622",,,,,,,legislature,"5160, boulevard Décarie
bureau 710
Montréal QC  H3X 2H9",1 514 872-4863,1 514 868-3327
DeLorimier,Conseiller de la ville,Marianne Giguère,Marianne,Giguère,F,Projet Montréal - Équipe Valérie Plante,marianne.giguere@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_giguere_marianne.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240786",,,,,,,legislature,"201, avenue Laurier Est
5e étage
Montréal QC  H2T 3E6",1 514 872-8023,
Desmarchais-Crawford,Conseiller de la ville,Sterling Downey,Sterling,Downey,M,Projet Montréal - Équipe Valérie Plante,sterling.downey@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_sterling_downey.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240785",,,,,,,legislature,"4555, rue de Verdun
Bureau 404
Verdun QC  H4G 1M4",1 514 765-7010,1 514 765-7013
François-Perrault,Conseiller de la ville,Sylvain Ouellet,Sylvain,Ouellet,M,Projet Montréal - Équipe Valérie Plante,sylvain.ouellet@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_ouellet_sylvain.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239489",,,,,,,legislature,"405, avenue Ogilvy
bureau 103
Montréal QC  H3N 1M3",1 514 872-7763,1 514 872-2402
Hochelaga,Conseiller de la ville,Éric Alan Caldwell,Éric Alan,Caldwell,M,Projet Montréal - Équipe Valérie Plante,eric.alan.caldwell@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_eric_alan_caldwell.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240718",,,,,,,legislature,"6854, rue Sherbrooke Est
Montréal QC  H1N 1E2",1 514 872-9899,1 514 872-7125
Jeanne-Mance,Conseiller de la ville,Alex Norris,Alex,Norris,M,Projet Montréal - Équipe Valérie Plante,alex.norris@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_norris_alex.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142265858",,,,,,,legislature,"201, avenue Laurier Est
5e étage
Montréal QC  H2T 3E6",1 514 872-8023,1 514 868-4077
L'Île-Bizard—Sainte-Geneviève,Maire d'arrondissement,Normand Marinacci,Normand,Marinacci,M,Projet Montréal - Équipe Valérie Plante,normand.marinacci@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_marinacci_normand.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239463",,,,,,,legislature,"350, montée de l'Église
L'Île-Bizard QC  H9C 1G9",1 514 620-6448,1 514 620-8198
La Pointe-aux-Prairies,Conseiller de la ville,Richard Guay,Richard,Guay,M,Ensemble Montréal,richard.guay@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_guay_richard.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142342308",,,,,,,legislature,"12090, rue Notre-Dame Est
Montréal QC  H1B 2Z1",1 514 868-4356,1 514 868-4353
LaSalle,Maire d'arrondissement,Manon Barbe,Manon,Barbe,F,Équipe Barbe Team,mbarbe@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_barbe_manon.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240760",,,,,,,legislature,"55, avenue Dupras
LaSalle QC  H8R 4A8",1 514 367-6000 x6205,1 514 367-6600
Lachine,Conseiller de la ville,Micheline Rouleau,Micheline,Rouleau,F,Projet Montréal - Équipe Valérie Plante,micheline.rouleau@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_rouleau_micheline.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903668",,,,,,,legislature,"1800, boulevard Saint-Joseph
Lachine QC  H8S 2N4",1 514 634-3471 x823,1 514 634-8164
Lachine,Maire d'arrondissement,Maja Vodanovic,Maja,Vodanovic,F,Projet Montréal - Équipe Valérie Plante,maja.vodanovic@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_vodanovic_maja.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239484",,,,,,,legislature,"1800, boulevard Saint-Joseph
Lachine QC  H8S 2N4",1 514 634-3471 x500,1 514 780-7700
Louis-Riel,Conseiller de la ville,Karine Boivin Roy,Karine Boivin,Roy,F,Ensemble Montréal,karine.boivin.roy@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_boivin_roy_karine.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240783",,,,,,,legislature,"6854, rue Sherbrooke Est
Montréal QC  H1N 1E2",1 514 872-2933,1 514 872-7125
Loyola,Conseiller de la ville,Christian Arseneault,Christian,Arseneault,M,Projet Montréal - Équipe Valérie Plante,christian.arseneault@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_arseneault_christian.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903662",,,,,,,legislature,"5160, boulevard Décarie
bureau 710
Montréal QC  H3X 2H9",1 514 868-3521,1 514 868-3327
Maisonneuve—Longue-Pointe,Conseiller de la ville,Laurence Lavigne Lalonde,Laurence Lavigne,Lalonde,F,Projet Montréal - Équipe Valérie Plante,laurence.lavigne.lalonde@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_lav_lalonde_laurence.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240788",,,,,,,legislature,"6854, rue Sherbrooke Est
Montréal QC  H1N 1E2",1 514 872-9899,1 514 872-1231
Marie-Clarac,Conseiller de la ville,Abdelhaq Sari,Abdelhaq,Sari,M,Ensemble Montréal,abdelhaq.sari@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_sari_abdelhaq.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903721",,,,,,,legislature,"4243, rue de Charleroi
Montréal-Nord QC  H1H 5R5",1 514 328-4000 x5574,1 514 328-5577
Marie-Victorin,Conseiller de la ville,Jocelyn Pauzé,Jocelyn,Pauzé,M,Projet Montréal - Équipe Valérie Plante,jocelyn.pauze@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_pauze_jocelyn.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903497",,,,,,,legislature,"5650, rue D'Iberville
2e étage
Montréal QC  H2G 2B3",1 514 868-3931,1 514 868-3932
Mercier—Hochelaga-Maisonneuve,Maire d'arrondissement,Pierre Lessard-Blais,Pierre,Lessard-Blais,M,Projet Montréal - Équipe Valérie Plante,pierre.lessard-blais@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_lessard-blais.pierre.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903719",,,,,,,legislature,"6854, rue Sherbrooke Est
Montréal QC  H1N 1E2",1 514 872-8759,1 514 868-4551
Mile-End,Conseiller de la ville,Richard Ryan,Richard,Ryan,M,Projet Montréal - Équipe Valérie Plante,richard.ryan@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_ryan_richard.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240781",,,,,,,legislature,"201, avenue Laurier Est
5e étage
Montréal QC  H2T 3E6",1 514 872-8023,1 514 868-4077
Montréal,Maire de la Ville de Montréal,Valérie Plante,Valérie,Plante,F,Projet Montréal - Équipe Valérie Plante,valerie.plante@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_plante_valerie.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239476",,,,,,
Montréal-Nord,Maire d'arrondissement,Christine Black,Christine,Black,F,Ensemble Montréal,christine.black@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_christine_black.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142447931",,,,,,,legislature,"4243, rue de Charleroi
Montréal-Nord QC  H1H 5R5",1 514 328-4000 x5570,1 514 328-5577
Norman-McLaren,Conseiller de la ville,Aref Salem,Aref,Salem,M,Ensemble Montréal,aref.salem@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_salem_aref.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=120290197",,,,,,,legislature,"777, boulevard Marcel-Laurin
Saint-Laurent QC  H4M 2M7",1 514 855-6000 x4042,1 514 855-6049
Notre-Dame-de-Grâce,Conseiller de la ville,Peter Mcqueen,Peter,Mcqueen,M,Projet Montréal - Équipe Valérie Plante,peter.mcqueen@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_mcqueen_peter.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239414",,,,,,,legislature,"5160, boulevard Décarie
bureau 710
Montréal QC  H3X 2H9",1 514 868-4281,1 514 868-3327
Outremont,Maire d'arrondissement,Philipe Tomlinson,Philipe,Tomlinson,M,Projet Montréal - Équipe Valérie Plante,philipe.tomlinson@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_tomlinson_philipe.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903718",,,,,,,legislature,"543, ch. de la Côte-Ste-Catherine
Outremont QC  H2V 4R2",1 514 495-6220,1 514 495-6290
Ovide-Clermont,Conseiller de la ville,Chantal Rossi,Chantal,Rossi,F,Ensemble Montréal,chantal.rossi@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_chantal_rossi.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142344578",,,,,,,legislature,"4243, rue de Charleroi
Montréal-Nord QC  H1H 5R5",1 514 328-4000 x5573,1 514 328-5577
Parc-Extension,Conseiller de la ville,Mary Deros,Mary,Deros,F,Ensemble Montréal,mderos@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_deros_mary.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239424",,,,,,,legislature,"405, avenue Ogilvy
bureau 103
Montréal QC  H3N 1M3",1 514 872-3103,1 514 872-2402
Peter-McGill,Conseiller de la ville,Cathy Wong,Cathy,Wong,F,Indépendant,cathy.wong@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_wong_cathy.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903684",,,,,,,legislature,"800, boul. De Maisonneuve Est
17e étage
Montréal QC  H2L 4L8",1 514 872-8347,1 514 872-8367
Pierrefonds-Roxboro,Maire d'arrondissement,Dimitrios (Jim) Beis,Dimitrios (Jim),Beis,M,Ensemble Montréal,dimitrios.beis@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_beis_dimitrios.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=119609587",,,,,,,legislature,"13665, boul. de Pierrefonds
Pierrefonds QC  H9A 2Z4",1 514 624-1400,1 514 624-1415
Pointe-aux-Trembles,Conseiller de la ville,Suzanne Décarie,Suzanne,Décarie,F,Ensemble Montréal,suzannedecarie@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_decarie_suzanne.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903535",,,,,,,legislature,"12090, rue Notre-Dame Est
Montréal QC  H1B 2Z1",1 514 868-4350,1 514 868-4353
Rivière-des-Prairies,Conseiller de la ville,Giovanni Rapanà,Giovanni,Rapanà,M,Indépendant,giovanni.rapana@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_rapana_giovanni.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142342309",,,,,,,legislature,"12090, rue Notre-Dame Est
Montréal QC  H1B 2Z1",1 514 868-5558,1 514 868-4353
Rivière-des-Prairies—Pointe-aux-Trembles,Maire d'arrondissement,Caroline Bourgeois,Caroline,Bourgeois,F,Projet Montréal - Équipe Valérie Plante,caroline.bourgeois@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_bourgeois_caroline.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=143195703",,,,,,,legislature,"12090, rue Notre-Dame Est
2e étage
Montréal QC  H1B 2Z1",1 514 868-4050,1 514 872-4112
Rosemont—La Petite-Patrie,Maire d'arrondissement,François William Croteau,François William,Croteau,M,Projet Montréal - Équipe Valérie Plante,francois.croteau@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_francois_croteau.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239412",,,,,,,legislature,"5650, rue D'Iberville
2e étage
Montréal QC  H2G 2B3",1 514 872-6473,1 514 868-3932
Saint-Henri—Petite-Bourgogne—Pointe-Saint-Charles,Conseiller de la ville,Craig Sauvé,Craig,Sauvé,M,Projet Montréal - Équipe Valérie Plante,craig.sauve@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_sauve_craig.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239481",,,,,,,legislature,"815, rue Bel-Air
Montréal QC  H4C 2K4",1 514 872-6814,1 514 872-3705
Saint-Jacques,Conseiller de la ville,Robert Beaudry,Robert,Beaudry,M,Projet Montréal - Équipe Valérie Plante,robert.beaudry@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_beaudry_robert.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142895202",,,,,,,legislature,"800, boul. De Maisonneuve Est
17e étage
Montréal QC  H2L 4L8",1 514 868-5296,1 514 872-8347
Saint-Laurent,Maire d'arrondissement,Alan Desousa,Alan,Desousa,M,Ensemble Montréal,adesousa@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_desousa_alan.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=119711593",,,,,,,legislature,"777, boulevard Marcel-Laurin
Saint-Laurent QC  H4M 2M7",1 514 855-6000 x4005,1 514 855-6049
Saint-Léonard,Maire d'arrondissement,Michel Bissonnet,Michel,Bissonnet,M,Ensemble Montréal,michel.bissonnet@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_michel_bissonnet.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=125471626",,,,,,,legislature,"8400, boulevard Lacordaire
Saint-Léonard QC  H1R 3B1",1 514 328-8410,1 514 328-8419
Saint-Léonard-Est,Conseiller de la ville,Patricia R. Lattanzio,Patricia R.,Lattanzio,F,Ensemble Montréal,patricia.r.lattanzio@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_patricia_lattanzio.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142320541",,,,,,,legislature,"8400, boulevard Lacordaire
Saint-Léonard QC  H1R 3B1",1 514 328-8410,1 514 328-8419
Saint-Léonard-Ouest,Conseiller de la ville,Dominic Perri,Dominic,Perri,M,Ensemble Montréal,dperri@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_perri_dominic.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239419",,,,,,,legislature,"8400, boulevard Lacordaire
Saint-Léonard QC  H1R 3B1",1 514 328-8410,1 514 328-8419
Saint-Michel,Conseiller de la ville,Josué Corvil,Josué,Corvil,M,Ensemble Montréal,,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_corvil_josue.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=143188306",,,,,,,legislature,"405, avenue Ogilvy
bureau 103
Montréal QC  H3N 1M3",1 514 872-7800,1 514 872-2402
Saint-Paul—Émard,Conseiller de la ville,Anne-Marie Sigouin,Anne-Marie,Sigouin,F,Projet Montréal - Équipe Valérie Plante,anne-marie.sigouin@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_anne_sigouin.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=120209577",,,,,,,legislature,"815, rue Bel-Air
Montréal QC  H4C 2K4",1 514 872-6814,1 514 872-3705
